DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE
CT15,469,603,5402,4896
CT16,1328,1432,6838,5516
CT17,1552,1767,6687,5402
CT18,494,508,5835,5494
CT19,1941,2270,9277,7841
CT20,1552,1748,8036,6235
CT21,636,732,6699,6434
CV01,4722,3684,7083,3075
CV02,5809,7198,20693,15368
CV03,4525,5527,23951,18984
CV04,2398,2765,10293,8062
CV05,2411,2769,17452,14981
CV06,7944,9441,29353,21351
CV07,1116,1409,11414,10458
CV08,1078,1190,12565,11890
CV09,891,1128,8459,7332
CV10,2606,3614,19004,16088
CV11,2002,2427,14741,12160
CV12,1466,2004,11251,9584
CV13,261,316,4673,4372
CV21,2443,2939,13961,10454
CV22,1573,1882,14257,12660
CV23,693,811,9836,9108
CV31,2072,2271,10749,8512
CV32,1567,1751,12033,10454
CV33,221,235,3041,2924
CV34,1447,1757,12420,11230
CV35,627,777,10903,10653
CV36,279,335,4076,3894
CV37,1729,2090,16975,16152
CV47,569,686,7536,7101
CW01,2562,2970,14019,11696
CW02,2241,2375,14972,12732
CW03,254,321,3794,3656
CW04,249,282,4225,4230
CW05,993,1059,12043,11574
CW06,277,360,5599,5494
CW07,1827,2266,11473,9997
CW08,1240,1482,15325,14482
CW09,1324,1453,13402,12044
CW10,466,580,6143,5692
CW11,790,850,10108,9793
CW12,1063,1202,12265,11474
DA01,3919,4927,21106,17513
DA02,1063,1369,8669,7990
DA03,575,592,6925,6711
DA04,342,376,3830,3562
DA05,871,942,8089,7701
DA06,591,712,3791,3332
DA07,1709,2074,13019,11736
DA08,3150,3934,11086,9217
DA09,737,854,5222,4577
DA10,505,674,3066,2537
DA11,2797,3248,13618,10599
DA12,3282,3755,16883,14060
DA13,355,419,6146,5880
DA14,1163,1487,7714,7270
DA15,1280,1541,10789,9856
DA16,2234,2872,13208,11285
DA17,1593,1953,6067,4899
DA18,763,927,1380,948
DD01,1137,1000,2270,1503
DD02,2615,3230,12729,11211
DD03,2688,3085,11045,8737
DD04,3273,3937,12588,10431
DD05,1003,1154,12258,11872
DD06,386,504,3474,3380
DD07,464,591,4731,4398
DD08,1078,1416,10697,9587
DD09,505,657,4027,3608
DD10,898,1120,7803,6963
DD11,1332,1661,9816,8452
DE01,1442,1273,4034,2291
DE02,23,17,62,26
DE03,536,712,6865,6367
DE04,1158,1471,13324,12278
DE05,825,1175,8190,7293
DE06,741,858,10480,9844
DE07,2386,3153,17713,14873
DE11,1888,2446,16726,14779
DE12,681,860,8577,7773
DE13,1366,1765,16062,14755
DE14,2343,2662,10676,7497
DE15,1254,1505,8497,7072
DE21,2996,3948,19774,16730
DE22,2668,3083,15667,13279
DE23,5118,5497,18921,14010
DE24,3853,5240,17954,13812
DE45,226,270,3314,3209
DE55,2090,2694,18979,16355
DE56,1305,1582,15163,14085
DE65,661,820,9253,8762
DE72,594,832,8161,7633
DE73,583,785,7814,7371
DE74,429,480,4744,4175
DE75,874,1060,6433,5585
DG01,1167,1355,9991,9087
DG02,1325,1731,7746,6877
DG03,170,236,1811,1707
DG04,206,307,1486,1126
DG05,218,244,1946,1805
DG06,265,286,1906,1806
DG07,442,514,4680,4510
DG08,471,625,4788,4320
DG09,783,938,5595,4906
DG10,161,202,1505,1335
DG11,473,596,5061,4577
DG12,662,805,4338,3726
DG13,114,140,1079,966
DG14,38,40,565,504
DG16,149,207,1402,1247
DH01,2116,2370,13714,12262
DH02,1352,2000,10715,9009
DH03,1269,1706,9018,7602
DH04,1668,2098,11919,10123
DH05,1012,1555,6862,5450
DH06,1504,2151,12075,10325
DH07,1830,2641,14578,12577
DH08,1749,2355,13710,11856
DH09,1994,2722,11820,9403
DL01,2889,3954,15161,11670
DL02,463,547,7221,7096
DL03,2333,2812,14926,12908
DL04,603,778,3094,2342
DL05,1536,1997,9989,8579
DL06,540,663,5876,5453
DL07,348,472,5965,5854
DL08,396,535,7825,7396
DL09,1993,1272,5253,3555
DL10,601,798,7084,6737
DL11,111,119,2178,2089
DL12,352,466,4774,4367
DL13,406,548,5476,4788
DL14,1701,2324,12780,10774
DL15,924,1312,7781,6593
DL16,869,1175,7673,6557
DL17,895,1294,6086,4810
DN01,1206,1008,2617,1089
DN02,1752,2116,7935,5918
DN03,1121,1536,11077,9588
DN04,3102,3743,18412,14634
DN05,1944,2606,13678,11696
DN06,1876,2497,10088,8071
DN07,1112,1562,7659,6270
DN08,1002,1377,6135,4717
DN09,600,718,8600,8203
DN10,327,405,5213,4854
DN11,1375,1858,10050,8649
DN12,1580,2110,7337,5614
DN14,2013,2821,17452,14577
DN15,2580,2672,12189,9333
DN16,1672,2022,10525,8853
DN17,1753,2245,13040,11256
DN18,523,733,4611,3843
DN19,170,212,2563,2301
DN20,595,728,7532,6672
DN21,1743,2314,13720,11992
DN22,1364,1748,13437,12199
DN31,848,1004,2451,1570
DN32,2506,2744,7723,5607
DN33,1294,1501,6479,5485
DN34,1137,1455,6416,5152
DN35,1959,2383,11051,9074
DN36,549,691,8170,7543
DN37,887,1097,8051,7232
DN38,74,109,1159,1057
DN39,90,106,1151,1001
DN40,669,915,4650,3562
DN41,150,189,2584,2467
DT01,851,1036,7427,7029
DT02,667,754,10619,10405
DT03,854,1018,9559,8900
DT04,2145,2341,13032,11304
DT05,711,841,4374,3808
DT06,757,858,8566,8464
DT07,225,228,2195,2111
DT08,164,216,2435,2369
DT09,685,815,8321,8235
DT10,302,365,4856,4630
DT11,1157,1209,12228,11046
DY01,2175,2687,10786,8530
DY02,2530,3219,10804,7986
DY03,1345,1708,12354,10783
DY04,3127,4173,13370,9895
DY05,2233,3022,13904,11247
DY06,796,1052,10949,10013
DY07,178,210,3256,3159
DY08,2044,2462,18486,16632
DY09,1382,1706,11096,9794
DY10,1693,2045,13193,11761
