DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,PROVISIONAL_LICENCES_TOTAL,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,FULL_LICENCES_TOTAL
CF03,2719,3511,6230,13796,12608,26404
CF04,46,37,83,151,111,262
CF05,4005,4886,8891,21283,19409,40692
CF06,84,74,158,134,63,197
CF07,13,8,21,65,48,113
CF08,53,44,97,150,106,256
CF09,0,0,0,1,0,1
CF10,1472,1274,2746,4144,2469,6613
CF11,3476,3369,6845,11395,8109,19504
CF14,3220,3615,6835,26411,24987,51398
CF15,561,671,1232,7070,7000,14070
CF16,0,0,0,0,1,1
CF18,0,1,1,0,0,0
CF23,2390,2870,5260,15897,15011,30908
CF24,5375,4705,10080,12092,8336,20428
CF31,1962,2389,4351,16035,14654,30689
CF32,1431,1804,3235,10882,9362,20244
CF33,771,1005,1776,5004,4318,9322
CF34,1033,1374,2407,6723,5385,12108
CF35,485,595,1080,7143,6668,13811
CF36,534,657,1191,6214,5801,12015
CF37,2270,2509,4779,12332,9927,22259
CF38,745,977,1722,8776,8238,17014
CF39,1381,1961,3342,9717,7974,17691
CF40,1068,1473,2541,6577,5200,11777
CF41,519,712,1231,3559,2759,6318
CF42,713,938,1651,4307,3442,7749
CF43,698,1000,1698,3719,2745,6464
CF44,1987,2754,4741,13626,11176,24802
CF45,1184,1526,2710,6144,4785,10929
CF46,610,870,1480,5181,4561,9742
CF47,1326,1869,3195,6773,5182,11955
CF48,1413,1872,3285,9062,7462,16524
CF61,491,572,1063,3695,3490,7185
CF62,2018,2419,4437,14849,14177,29026
CF63,1484,1705,3189,6655,5918,12573
CF64,1566,1723,3289,13641,13232,26873
CF71,210,222,432,3951,3902,7853
CF72,840,1066,1906,10041,9655,19696
CF81,975,1325,2300,5217,3899,9116
CF82,947,1199,2146,7038,6086,13124
CF83,2719,3439,6158,18150,16105,34255
CH01,2216,2460,4676,9521,7591,17112
CH02,1629,1990,3619,12727,11331,24058
CH03,1224,1359,2583,14147,13422,27569
CH04,1588,2007,3595,12484,11518,24002
CH05,2172,2643,4815,15150,12911,28061
CH06,913,1211,2124,5849,4984,10833
CH06R,0,0,0,1,0,1
CH07,1735,2258,3993,19202,18002,37204
CH08,921,1211,2132,7749,6759,14508
CH09,1,0,1,1,0,1
CH14,0,0,0,1,0,1
CH22,0,0,0,0,1,1
CH24,0,0,0,1,0,1
CH41,1829,2097,3926,4599,3314,7913
CH42,2628,3035,5663,8778,7133,15911
CH43,2209,2408,4617,12961,11454,24415
CH44,2422,2795,5217,8296,6618,14914
CH45,1746,1950,3696,10657,9638,20295
CH46,1533,1833,3366,8359,7417,15776
CH47,427,505,932,4164,4061,8225
CH48,588,603,1191,5847,5783,11630
CH49,1448,1771,3219,10142,9670,19812
CH51,0,0,0,0,1,1
CH60,331,309,640,5405,5394,10799
CH61,566,658,1224,6611,6499,13110
CH62,1603,1882,3485,10179,9236,19415
CH63,1169,1377,2546,10952,10586,21538
CH64,613,698,1311,7607,7303,14910
CH65,1976,2397,4373,9088,7563,16651
CH66,1508,1822,3330,13167,12168,25335
CM00,604,731,1335,6975,6211,13186
CM01,3326,3753,7079,24242,21813,46055
CM02,2530,3038,5568,22872,20647,43519
CM03,1620,1945,3565,22691,21537,44228
CM04,334,346,680,4402,4321,8723
CM05,338,377,715,4611,4404,9015
CM06,745,881,1626,11536,11089,22625
CM07,2261,2836,5097,18341,15966,34307
CM08,1559,2027,3586,12115,10821,22936
CM09,1210,1513,2723,13711,12609,26320
CM11,665,789,1454,7984,7479,15463
CM12,706,707,1413,8244,7919,16163
CM13,955,1108,2063,10147,9430,19577
CM14,974,1213,2187,7966,7239,15205
CM15,803,953,1756,9495,9206,18701
CM16,825,938,1763,9288,8773,18061
CM17,907,1193,2100,9068,8482,17550
CM18,1804,2204,4008,8765,7102,15867
CM19,1429,1702,3131,7848,6219,14067
CM20,1947,2336,4283,8193,6256,14449
CM21,360,421,781,4668,4276,8944
CM22,480,508,988,6537,6099,12636
CM23,1814,2043,3857,15952,14711,30663
CM24,284,343,627,3204,2968,6172
CM77,457,561,1018,6069,5871,11940
CO00,1,1,2,0,0,0
CO01,1356,1531,2887,5541,4251,9792
CO01O,0,0,0,0,1,1
CO02,2243,2837,5080,13030,11082,24112
CO03,1402,1558,2960,11730,10868,22598
CO04,2987,3532,6519,17054,14511,31565
CO05,831,1011,1842,11699,10964,22663
CO06,818,981,1799,11521,11074,22595
CO07,1190,1324,2514,13765,12769,26534
CO08,68,70,138,978,942,1920
CO09,897,1053,1950,10307,9460,19767
CO10,1884,2225,4109,18665,17117,35782
CO11,399,535,934,5284,5035,10319
CO12,1064,1387,2451,8218,6899,15117
CO13,376,477,853,4998,4686,9684
CO14,270,363,633,2436,2030,4466
CO15,2279,2733,5012,15455,12802,28257
CO16,1098,1264,2362,9850,8758,18608
CR00,17721,19952,37673,51857,40721,92578
CR01,6,6,12,8,1,9
CR02,3105,3614,6719,18309,16504,34813
CR03,1314,1538,2852,11252,10833,22085
CR04,8685,8560,17245,21218,14603,35821
CR05,1415,1717,3132,11593,11077,22670
CR06,364,417,781,4039,3857,7896
CR07,7077,7030,14107,14724,10753,25477
CR08,1948,2194,4142,12592,11616,24208
CR09,56,40,96,62,22,84
CT00,0,0,0,0,1,1
CT01,2305,2546,4851,8120,6634,14754
CT02,1872,2034,3906,8725,7550,16275
CT03,826,986,1812,7378,6862,14240
CT04,621,658,1279,6973,6852,13825
CT05,1387,1561,2948,12443,11940,24383
CT06,1654,1875,3529,14639,13691,28330
CT07,389,496,885,4614,4253,8867
CT08,428,482,910,2681,2504,5185
CT09,3412,3722,7134,13897,11599,25496
CT10,1305,1407,2712,9134,8561,17695
CT11,2255,2470,4725,9593,8214,17807
CT12,1163,1387,2550,6402,5565,11967
CT13,368,431,799,3422,3125,6547
CT14,1667,1987,3654,12836,11467,24303
CT15,469,603,1072,5402,4896,10298
CT16,1328,1432,2760,6838,5516,12354
CT17,1552,1767,3319,6687,5402,12089
CT18,494,508,1002,5835,5494,11329
CT19,1941,2270,4211,9277,7841,17118
CT20,1552,1748,3300,8036,6235,14271
CT21,636,732,1368,6699,6434,13133
CV00,0,0,0,0,1,1
CV01,4722,3684,8406,7083,3075,10158
CV02,5809,7198,13007,20693,15368,36061
CV03,4525,5527,10052,23951,18984,42935
CV04,2398,2765,5163,10293,8062,18355
CV05,2411,2769,5180,17452,14981,32433
CV06,7944,9441,17385,29353,21351,50704
CV07,1116,1409,2525,11414,10458,21872
CV08,1078,1190,2268,12565,11890,24455
CV09,891,1128,2019,8459,7332,15791
CV10,2606,3614,6220,19004,16088,35092
CV11,2002,2427,4429,14741,12160,26901
CV12,1466,2004,3470,11251,9584,20835
CV13,261,316,577,4673,4372,9045
CV18,0,0,0,0,1,1
CV19,0,0,0,1,0,1
CV21,2443,2939,5382,13961,10454,24415
CV22,1573,1882,3455,14257,12660,26917
CV23,693,811,1504,9836,9108,18944
CV27,0,0,0,1,0,1
CV31,2072,2271,4343,10749,8512,19261
CV32,1567,1751,3318,12033,10454,22487
CV33,221,235,456,3041,2924,5965
CV34,1447,1757,3204,12420,11230,23650
CV35,627,777,1404,10903,10653,21556
CV36,279,335,614,4076,3894,7970
CV37,1729,2090,3819,16975,16152,33127
CV42,0,0,0,1,0,1
CV47,569,686,1255,7536,7101,14637
CW01,2562,2970,5532,14019,11696,25715
CW02,2241,2375,4616,14972,12732,27704
CW03,254,321,575,3794,3656,7450
CW04,249,282,531,4225,4230,8455
CW05,993,1059,2052,12043,11574,23617
CW06,277,360,637,5599,5494,11093
CW07,1827,2266,4093,11473,9997,21470
CW08,1240,1482,2722,15325,14482,29807
CW09,1324,1453,2777,13402,12044,25446
CW10,466,580,1046,6143,5692,11835
CW11,790,850,1640,10108,9793,19901
CW12,1063,1202,2265,12265,11474,23739
DA00,1,1,2,0,0,0
DA01,3919,4927,8846,21106,17513,38619
DA02,1063,1369,2432,8669,7990,16659
DA03,575,592,1167,6925,6711,13636
DA04,342,376,718,3830,3562,7392
DA05,871,942,1813,8089,7701,15790
DA06,591,712,1303,3791,3332,7123
DA07,1709,2074,3783,13019,11736,24755
DA08,3150,3934,7084,11086,9217,20303
DA09,737,854,1591,5222,4577,9799
DA10,505,674,1179,3066,2537,5603
DA11,2797,3248,6045,13618,10599,24217
DA12,3282,3755,7037,16883,14060,30943
DA13,355,419,774,6146,5880,12026
DA14,1163,1487,2650,7714,7270,14984
DA15,1280,1541,2821,10789,9856,20645
DA16,2234,2872,5106,13208,11285,24493
DA17,1593,1953,3546,6067,4899,10966
DA18,763,927,1690,1380,948,2328
DD01,1137,1000,2137,2270,1503,3773
DD02,2615,3230,5845,12729,11211,23940
DD03,2688,3085,5773,11045,8737,19782
DD04,3273,3937,7210,12588,10431,23019
DD05,1003,1154,2157,12258,11872,24130
DD06,386,504,890,3474,3380,6854
DD07,464,591,1055,4731,4398,9129
DD08,1078,1416,2494,10697,9587,20284
DD09,505,657,1162,4027,3608,7635
DD10,898,1120,2018,7803,6963,14766
DD11,1332,1661,2993,9816,8452,18268
DE01,1442,1273,2715,4034,2291,6325
DE02,23,17,40,62,26,88
