DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,PROVISIONAL_LICENCES_TOTAL,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,FULL_LICENCES_TOTAL
TD12,115,172,287,1708,1635,3343
TD13,30,44,74,374,360,734
TD14,224,342,566,2421,2125,4546
TD15,760,1001,1761,6508,5684,12192
TF01,2323,2725,5048,13905,11520,25425
TF02,2044,2438,4482,13812,12052,25864
TF03,1906,2422,4328,8236,6526,14762
TF04,980,1314,2294,7352,6525,13877
TF05,186,195,381,2032,1977,4009
TF06,135,158,293,2405,2187,4592
TF07,1442,1806,3248,5462,4255,9717
TF08,93,89,182,1214,1149,2363
TF09,896,1095,1991,10128,8934,19062
TF10,612,624,1236,7345,6824,14169
TF11,366,398,764,4604,4349,8953
TF12,199,222,421,2076,1918,3994
TF13,114,134,248,1449,1453,2902
TN00,0,0,0,1,0,1
TN01,811,922,1733,4099,3342,7441
TN02,1287,1592,2879,10648,9900,20548
TN03,317,385,702,4841,4708,9549
TN03O,0,0,0,1,0,1
TN04,1526,1831,3357,11096,10336,21432
TN05,281,333,614,3586,3581,7167
TN06,808,1006,1814,10313,9730,20043
TN07,69,84,153,998,1020,2018
TN08,488,597,1085,5300,5159,10459
TN09,1065,1167,2232,6454,5863,12317
TN10,771,895,1666,5953,5714,11667
TN11,423,512,935,5803,5649,11452
TN12,1017,1303,2320,11941,11286,23227
TN13,978,1100,2078,9679,9473,19152
TN14,516,549,1065,6584,6274,12858
TN15,779,893,1672,10533,10312,20845
TN16,675,724,1399,7966,7709,15675
TN17,570,666,1236,5526,5296,10822
TN18,210,240,450,2650,2579,5229
TN19,145,188,333,2177,2077,4254
TN20,129,145,274,1579,1582,3161
TN21,444,530,974,6901,6680,13581
TN22,1001,1149,2150,11040,10811,21851
TN23,2553,3061,5614,14675,12539,27214
TN24,1889,2250,4139,11789,10378,22167
TN25,525,563,1088,7577,7212,14789
TN26,346,376,722,5106,4845,9951
TN27,358,455,813,5773,5594,11367
TN28,329,396,725,3479,3134,6613
TN29,529,652,1181,5328,4646,9974
TN30,303,377,680,3872,3852,7724
TN31,568,634,1202,5616,5245,10861
TN32,196,200,396,2161,2031,4192
TN33,522,534,1056,4947,4889,9836
TN34,2230,2545,4775,10078,8507,18585
TN35,1079,1282,2361,6262,5814,12076
TN36,77,98,175,966,919,1885
TN37,1415,1596,3011,6787,5591,12378
TN38,1923,2249,4172,9413,8180,17593
TN39,1093,1282,2375,9856,9346,19202
TN40,872,1061,1933,6084,5710,11794
TQ01,2015,2153,4168,11391,9726,21117
TQ02,2048,2413,4461,12153,10869,23022
TQ03,1602,1861,3463,11125,10169,21294
TQ04,854,974,1828,7539,6784,14323
TQ05,854,985,1839,7256,6502,13758
TQ06,306,426,732,3044,2751,5795
TQ07,567,682,1249,6700,6571,13271
TQ08,73,69,142,721,676,1397
TQ09,866,969,1835,7287,7445,14732
TQ10,121,164,285,1608,1585,3193
TQ11,185,259,444,1596,1504,3100
TQ12,2152,2543,4695,21330,20209,41539
TQ13,799,844,1643,9601,9623,19224
TQ14,823,963,1786,7402,6954,14356
TR01,1176,1423,2599,7601,7233,14834
TR02,323,397,720,4123,4034,8157
TR03,375,414,789,5175,5095,10270
TR04,386,437,823,4951,4828,9779
TR05,160,147,307,1621,1641,3262
TR06,148,178,326,1555,1435,2990
TR07,1267,1364,2631,8149,7314,15463
TR08,320,345,665,4093,3847,7940
TR09,302,396,698,3172,2921,6093
TR10,550,598,1148,3606,3334,6940
TR11,1357,1544,2901,10153,9697,19850
TR12,295,322,617,3804,3567,7371
TR13,689,850,1539,7727,7422,15149
TR14,1377,1435,2812,9490,8313,17803
TR15,1055,1149,2204,7471,6672,14143
TR16,558,617,1175,6372,6059,12431
TR17,64,82,146,590,561,1151
TR18,1211,1381,2592,6435,5763,12198
TR19,401,456,857,3395,3270,6665
TR20,299,341,640,3918,3738,7656
TR21,77,96,173,574,470,1044
TR22,7,5,12,22,21,43
TR23,2,6,8,31,24,55
TR24,5,7,12,43,23,66
TR25,3,3,6,48,38,86
TR26,590,631,1221,4032,3756,7788
TR27,631,748,1379,5831,5410,11241
TS01,2473,1899,4372,3214,1348,4562
TS02,144,147,291,224,125,349
TS03,2662,3303,5965,6792,4756,11548
TS04,1521,1845,3366,4712,3459,8171
TS05,2153,2693,4846,13822,11719,25541
TS06,1848,2502,4350,9434,7540,16974
TS07,699,959,1658,8728,7876,16604
TS08,970,1321,2291,7483,6874,14357
TS09,293,379,672,5340,5102,10442
TS10,1995,2521,4516,12443,10546,22989
TS11,396,527,923,4423,3930,8353
TS12,1025,1254,2279,8015,7011,15026
TS13,554,716,1270,3365,2578,5943
TS14,596,840,1436,6952,6288,13240
TS15,369,400,769,5870,5477,11347
TS16,325,420,745,4046,3878,7924
TS17,2040,2585,4625,15673,13775,29448
TS18,1556,1705,3261,8203,6701,14904
TS19,2082,2875,4957,11168,9664,20832
TS20,1054,1306,2360,6706,5746,12452
TS21,359,459,818,5134,4657,9791
TS22,194,251,445,3963,3659,7622
TS23,1609,2088,3697,9425,7998,17423
TS24,1583,1978,3561,6078,4597,10675
TS25,2070,2620,4690,12100,10181,22281
TS26,1202,1377,2579,8609,7700,16309
TS27,448,607,1055,4434,3965,8399
TS28,258,305,563,1775,1568,3343
TS29,283,392,675,2097,1695,3792
TS90,0,0,0,1,0,1
TW00,0,0,0,0,1,1
TW01,1563,1835,3398,10424,9573,19997
TW02,1865,2098,3963,11456,10575,22031
TW02O,0,0,0,1,0,1
TW03,8796,6724,15520,15272,9321,24593
TW04,6002,4988,10990,10558,6415,16973
TW05,5282,4535,9817,12120,7904,20024
TW06,8,2,10,20,12,32
TW07,3617,4157,7774,14770,11639,26409
TW08,2177,2450,4627,8096,6163,14259
TW09,1583,1869,3452,9138,8345,17483
TW10,1453,1720,3173,7886,7116,15002
TW11,1359,1621,2980,9108,8701,17809
TW12,1323,1574,2897,8823,8387,17210
TW13,3528,4058,7586,13067,9561,22628
TW14,3181,3547,6728,10659,7513,18172
TW15,1242,1404,2646,11357,10042,21399
TW16,1000,1231,2231,8519,7608,16127
TW17,518,576,1094,5971,5739,11710
TW18,1325,1355,2680,10433,9323,19756
TW19,1111,1276,2387,7101,5872,12973
TW20,1562,1612,3174,8822,7609,16431
UB01,10414,7595,18009,14538,8355,22893
UB01O,0,0,0,0,1,1
UB02,7843,5929,13772,12004,7239,19243
UB03,7531,7355,14886,19039,12251,31290
UB04,4824,4751,9575,14663,10584,25247
UB05,5203,6201,11404,16542,11897,28439
UB06,6415,6177,12592,21344,14218,35562
UB07,3237,3650,6887,12066,8618,20684
UB08,2953,3092,6045,11829,9089,20918
UB09,717,778,1495,6155,5575,11730
UB10,2106,2506,4612,14023,12221,26244
UB11,1,1,2,13,3,16
UNKNOWN,1710,1386,3096,23163,15881,39044
W01,39,29,68,58,33,91
W01A,106,32,138,104,43,147
W01B,68,72,140,307,169,476
W01C,16,8,24,18,5,23
W01D,214,113,327,397,151,548
W01E,2,0,2,3,1,4
W01F,182,150,332,546,257,803
W01G,246,237,483,1082,789,1871
W01H,876,768,1644,2289,1499,3788
W01J,205,154,359,744,454,1198
W01K,388,405,793,1106,668,1774
W01M,72,54,126,73,58,131
W01N,55,67,122,103,53,156
W01O,0,1,1,0,0,0
W01P,70,66,136,94,39,133
W01R,63,14,77,56,7,63
W01S,49,41,90,146,59,205
W01T,478,363,841,1144,593,1737
W01U,531,546,1077,1784,1209,2993
W01V,92,61,153,101,49,150
W01W,429,475,904,1141,701,1842
W01X,55,20,75,97,46,143
W01Y,65,55,120,115,60,175
W02,7515,6864,14379,17012,11064,28076
W02H,1,0,1,0,0,0
W03,7279,7010,14289,21728,15385,37113
W04,3660,4262,7922,17779,15486,33265
W05,4767,5017,9784,21461,17299,38760
W06,4069,4018,8087,11634,9227,20861
W07,3283,3499,6782,10214,8365,18579
W08,2142,2566,4708,8277,7028,15305
W09,4628,5002,9630,12688,9432,22120
W10,4711,5335,10046,9398,7034,16432
W11,3869,4346,8215,10272,8313,18585
W12,7111,7122,14233,14795,10524,25319
W13,3479,3439,6918,12783,10160,22943
W14,4631,5050,9681,12943,9960,22903
W15,4,1,5,8,5,13
W16,5,1,6,0,2,2
W17,9,7,16,10,10,20
W18,4,2,6,1,1,2
W19,2,6,8,7,2,9
W21,0,3,3,0,0,0
W22,3,1,4,5,0,5
W23,0,1,1,0,0,0
W26,0,1,1,0,1,1
W27,0,0,0,1,0,1
W28,0,1,1,0,0,0
W30,0,0,0,1,0,1
W32,1,0,1,0,0,0
W38,0,0,0,1,0,1
W40,0,0,0,0,1,1
W43,0,0,0,0,1,1
WA01,1121,1208,2329,8457,7268,15725
WA02,2651,3126,5777,13459,10948,24407
WA03,1802,2330,4132,17812,16294,34106
WA04,1792,2027,3819,18943,17572,36515
WA05,2675,3297,5972,22929,20301,43230
WA06,595,684,1279,7887,7508,15395
WA07,4257,5424,9681,20995,17466,38461
WA08,3533,4586,8119,22190,18626,40816
WA09,3235,4199,7434,15933,12552,28485
WA10,2235,2591,4826,13180,11066,24246
WA11,1737,2288,4025,14623,12685,27308
WA12,1216,1608,2824,8374,7102,15476
WA13,346,408,754,5290,5165,10455
WA14,1491,1501,2992,11690,10856,22546
WA15,1826,1914,3740,16955,15742,32697
WA16,819,831,1650,9698,9363,19061
WC01,19,26,45,33,20,53
WC01A,105,98,203,306,136,442
WC01B,197,218,415,360,239,599
WC01E,237,240,477,481,306,787
WC01G,0,1,1,0,0,0
WC01H,981,929,1910,1822,1001,2823
WC01M,0,1,1,1,0,1
WC01N,798,804,1602,1847,1149,2996
WC01P,0,0,0,1,0,1
WC01Q,1,0,1,0,0,0
WC01R,54,41,95,183,102,285
WC01S,1,0,1,0,0,0
WC01V,61,42,103,102,50,152
WC01X,1021,963,1984,1942,1211,3153
WC01Y,0,0,0,1,0,1
WC01Z,2,1,3,0,0,0
WC02,7,3,10,17,5,22
WC02A,14,15,29,91,54,145
WC02B,201,165,366,478,258,736
WC02E,73,57,130,229,117,346
WC02H,409,314,723,812,380,1192
WC02N,94,57,151,243,119,362
WC02R,41,31,72,137,80,217
WC02V,0,0,0,0,1,1
WC02Z,0,0,0,0,1,1
WC04,1,0,1,0,0,0
WC12,1,0,1,0,0,0
WC13,0,2,2,2,0,2
WC14,3,1,4,0,2,2
WC18,1,0,1,0,0,0
WC19,1,1,2,0,0,0
WC23,0,0,0,2,0,2
WC24,2,0,2,5,1,6
WC28,1,0,1,0,2,2
WC44,0,0,0,1,0,1
WC78,1,0,1,0,0,0
WD01,61,53,114,141,76,217
WD02,100,73,173,211,91,302
WD03,1724,1853,3577,16743,16398,33141
WD04,354,372,726,4737,4545,9282
WD05,491,510,1001,4439,4321,8760
WD06,2639,3056,5695,15208,12887,28095
WD07,467,569,1036,5331,5223,10554
WD17,1196,1246,2442,6969,5732,12701
WD18,2626,2990,5616,9252,6514,15766
WD19,1646,1928,3574,10476,9532,20008
WD23,1251,1473,2724,10545,10328,20873
WD24,1772,1958,3730,8712,6859,15571
WD25,1625,1970,3595,11036,9961,20997
WF00,0,0,0,1,0,1
WF01,2605,3009,5614,12189,8954,21143
WF02,2909,3730,6639,17507,14649,32156
WF03,1301,1781,3082,12478,11244,23722
WF04,1749,2322,4071,16418,14483,30901
WF05,884,1150,2034,7649,6896,14545
WF06,1177,1561,2738,7541,6101,13642
WF07,1031,1495,2526,7574,6492,14066
WF08,1660,2226,3886,12090,10345,22435
WF09,2478,3289,5767,13302,10344,23646
WF10,2843,3891,6734,16232,12889,29121
WF11,1021,1324,2345,5771,4677,10448
WF12,2074,2802,4876,11438,8845,20283
WF13,2269,2900,5169,8028,5350,13378
WF14,696,968,1664,7377,6739,14116
WF15,836,1101,1937,6149,5397,11546
WF16,723,953,1676,3950,2925,6875
WF17,2717,3675,6392,13894,10290,24184
WF21,0,0,0,1,0,1
WN00,0,0,0,1,0,1
WN01,1114,1233,2347,6888,5353,12241
WN02,2539,3293,5832,17916,14809,32725
WN03,1425,1921,3346,10971,9074,20045
WN04,1205,1523,2728,10370,8934,19304
WN05,2279,2851,5130,15057,12319,27376
WN06,1570,1933,3503,15186,13683,28869
WN07,2771,3337,6108,16168,12956,29124
WN08,3245,3948,7193,15325,12564,27889
WR01,769,686,1455,3336,2501,5837
WR02,1278,1414,2692,10939,9915,20854
WR03,840,950,1790,8241,7495,15736
WR04,1599,2001,3600,8649,7400,16049
WR05,1448,1818,3266,12409,11115,23524
WR06,308,325,633,5661,5450,11111
WR07,110,121,231,2480,2418,4898
WR08,223,222,445,3531,3383,6914
WR09,1276,1508,2784,12499,11814,24313
WR10,484,685,1169,7756,7437,15193
WR11,1806,2100,3906,17897,15833,33730
WR12,148,194,342,2513,2439,4952
WR13,209,226,435,3738,3655,7393
WR14,1664,2001,3665,12603,11804,24407
WR15,246,245,491,2979,2753,5732
WS00,0,0,0,0,1,1
WS01,2503,2971,5474,7836,4874,12710
WS02,3325,4538,7863,11173,7338,18511
WS03,3511,4486,7997,15851,12404,28255
WS04,916,1090,2006,6120,5175,11295
WS05,1023,1558,2581,7766,6589,14355
WS06,569,752,1321,6698,5879,12577
WS07,922,1266,2188,11517,10277,21794
WS08,830,1025,1855,5533,4657,10190
WS09,935,1175,2110,9923,8927,18850
WS10,3431,4568,7999,14268,10463,24731
WS11,1866,2458,4324,15419,13286,28705
WS12,1258,1719,2977,13375,11758,25133
WS13,1193,1365,2558,10037,9063,19100
WS14,560,623,1183,6979,6689,13668
WS15,1556,1955,3511,14322,12689,27011
WV00,0,2,2,0,0,0
WV01,1989,1946,3935,4378,2682,7060
WV02,2057,2245,4302,4796,3117,7913
WV03,2109,2371,4480,10143,8192,18335
WV04,1869,2421,4290,12220,10116,22336
WV05,419,552,971,6044,5583,11627
WV06,2751,3151,5902,16005,13734,29739
WV07,367,270,637,2262,2052,4314
WV08,713,1030,1743,5574,5136,10710
WV09,299,369,668,2644,2369,5013
WV10,4549,5918,10467,17194,13456,30650
WV11,2010,2642,4652,11756,9353,21109
WV12,1279,1722,3001,8797,7229,16026
WV13,1584,2019,3603,6714,5145,11859
WV14,3273,4276,7549,15016,11634,26650
WV15,278,317,595,3482,3098,6580
WV16,523,628,1151,7044,6361,13405
YL55,0,0,0,0,1,1
YO00,0,0,0,1,0,1
YO01,374,380,754,1453,1080,2533
YO01O,0,0,0,1,0,1
YO02,34,37,71,73,28,101
YO03,35,29,64,90,53,143
YO03O,0,0,0,0,1,1
YO04,12,13,25,98,76,174
YO05,8,9,17,32,18,50
YO06,18,27,45,112,63,175
YO07,619,747,1366,8062,7453,15515
YO08,1854,2404,4258,17441,15467,32908
YO09,2,0,2,0,0,0
YO10,1520,1866,3386,7098,6000,13098
YO11,1425,1659,3084,7482,5883,13365
YO12,2219,2683,4902,13112,11267,24379
YO13,237,294,531,4234,4139,8373
YO14,393,536,929,4316,3861,8177
YO15,741,815,1556,4800,3793,8593
YO16,1141,1503,2644,8631,7113,15744
YO17,774,891,1665,8700,7850,16550
YO18,326,392,718,4495,4247,8742
YO19,368,435,803,5074,4813,9887
YO20,0,0,0,0,1,1
YO21,534,604,1138,5375,4815,10190
YO22,378,433,811,3225,2906,6131
YO23,798,982,1780,7180,6966,14146
YO24,1712,2178,3890,9970,9062,19032
YO25,1004,1274,2278,13354,12273,25627
YO26,1459,1789,3248,10880,9909,20789
YO29,0,0,0,1,0,1
YO30,1416,1715,3131,8949,8067,17016
YO31,1584,1964,3548,8732,7635,16367
YO32,952,1261,2213,10590,10299,20889
YO34,1,0,1,1,0,1
YO41,247,344,591,4466,4324,8790
YO42,451,579,1030,6070,5851,11921
YO43,335,398,733,5072,4776,9848
YO45,0,0,0,0,1,1
YO51,150,179,329,2432,2370,4802
YO60,105,107,212,1955,1958,3913
YO61,359,439,798,5749,5681,11430
YO62,350,390,740,4782,4572,9354
YO69,0,0,0,1,0,1
ZE00,0,0,0,0,1,1
ZE01,425,528,953,2736,2294,5030
ZE02,566,760,1326,5501,4910,10411
ZE03,20,23,43,169,133,302
